Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. BAO,E. BAO,E. BAO,E. BAO,E. BAO
Tipo:,E,E,E,E,E
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0.15,0.15,0.15,-1,-1
09/05/2020 07:00,1.3,1.3,1.3,-1,-1
09/05/2020 08:00,5.27,5.27,5.27,-1,-1
09/05/2020 09:00,15.35,15.35,15.35,-1,-1
09/05/2020 10:00,35.79,35.79,35.79,-1,-1
09/05/2020 11:00,69.99,69.99,69.99,-1,-1
09/05/2020 12:00,119.25,119.25,119.25,-1,-1
09/05/2020 13:00,182.74,182.74,182.74,-1,-1
09/05/2020 14:00,257.25,257.25,257.25,-1,-1
09/05/2020 15:00,338.04,338.04,338.04,-1,-1
09/05/2020 16:00,419.85,419.85,419.85,-1,-1
09/05/2020 17:00,498.4,498.4,498.4,-1,-1
09/05/2020 18:00,571.59,571.59,571.59,-1,-1
09/05/2020 19:00,638.91,638.91,638.91,-1,-1
09/05/2020 20:00,700.55,700.55,700.55,-1,-1
09/05/2020 21:00,756.63,756.63,756.63,-1,-1
09/05/2020 22:00,807.69,807.69,807.69,-1,-1
09/05/2020 23:00,855.14,855.14,855.14,855.14,855.14
10/05/2020 00:00,900.33,901.6,902.88,900.33,902.88
10/05/2020 01:00,942.22,950.77,959.41,942.22,959.41
10/05/2020 02:00,978.18,1006.58,1035.4,978.18,1035.4
10/05/2020 03:00,1001.65,1071.58,1142.8,1001.65,1142.8
10/05/2020 04:00,1009.41,1145.61,1284.91,1009.41,1284.91
10/05/2020 05:00,1004.4,1226.09,1453.87,1004.4,1453.87
10/05/2020 06:00,990.74,1309.25,1638.11,990.74,1638.11
10/05/2020 07:00,971.77,1390.97,1825.84,971.77,1825.84
10/05/2020 08:00,950.12,1466.51,2004.65,950.12,2004.65
10/05/2020 09:00,927.59,1530.34,2161.19,927.59,2161.19
10/05/2020 10:00,904.31,1576.65,2283.18,904.31,2283.18
10/05/2020 11:00,877.92,1600.55,2362.67,877.92,2362.67
