Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH BOMA,EH BOMA,EH BOMA,EH BOMA,EH BOMA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0,0,0,-1,-1
09/05/2020 08:00,0.07,0.07,0.07,-1,-1
09/05/2020 09:00,0.72,0.72,0.72,-1,-1
09/05/2020 10:00,3.23,3.23,3.23,-1,-1
09/05/2020 11:00,9.62,9.62,9.62,-1,-1
09/05/2020 12:00,22.36,22.36,22.36,-1,-1
09/05/2020 13:00,44.24,44.24,44.24,-1,-1
09/05/2020 14:00,79.04,79.04,79.04,-1,-1
09/05/2020 15:00,129.76,129.76,129.76,-1,-1
09/05/2020 16:00,195.58,195.58,195.58,-1,-1
09/05/2020 17:00,271.45,271.45,271.45,-1,-1
09/05/2020 18:00,349.74,349.74,349.74,-1,-1
09/05/2020 19:00,423,423,423,-1,-1
09/05/2020 20:00,486.04,486.04,486.04,-1,-1
09/05/2020 21:00,537.54,537.54,537.54,-1,-1
09/05/2020 22:00,579.62,579.62,579.62,-1,-1
09/05/2020 23:00,615.68,615.68,615.68,615.68,615.68
10/05/2020 00:00,648.16,648.78,649.41,648.16,649.41
10/05/2020 01:00,676.64,681.41,686.24,676.64,686.24
10/05/2020 02:00,698.52,715.82,733.4,698.52,733.4
10/05/2020 03:00,710.72,754.38,798.98,710.72,798.98
10/05/2020 04:00,709.78,799.97,892.57,709.78,892.57
10/05/2020 05:00,696.61,855.34,1019.23,696.61,1019.23
10/05/2020 06:00,678.55,921.23,1173.36,678.55,1173.36
10/05/2020 07:00,663.5,994.64,1340.99,663.5,1340.99
10/05/2020 08:00,654.42,1069.56,1506.64,654.42,1506.64
10/05/2020 09:00,650.59,1139.47,1657.25,650.59,1657.25
10/05/2020 10:00,650.01,1199.1,1783.65,650.01,1783.65
10/05/2020 11:00,649.25,1244.42,1880.68,649.25,1880.68
