Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH LOS PILONES,EH LOS PILONES,EH LOS PILONES,EH LOS PILONES,EH LOS PILONES
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0.19,0.19,0.19,-1,-1
09/05/2020 08:00,1.21,1.21,1.21,-1,-1
09/05/2020 09:00,4.16,4.16,4.16,-1,-1
09/05/2020 10:00,9.77,9.77,9.77,-1,-1
09/05/2020 11:00,17.85,17.85,17.85,-1,-1
09/05/2020 12:00,27.59,27.59,27.59,-1,-1
09/05/2020 13:00,37.81,37.81,37.81,-1,-1
09/05/2020 14:00,47.15,47.15,47.15,-1,-1
09/05/2020 15:00,54.6,54.6,54.6,-1,-1
09/05/2020 16:00,59.79,59.79,59.79,-1,-1
09/05/2020 17:00,63.08,63.08,63.08,-1,-1
09/05/2020 18:00,65.3,65.3,65.3,-1,-1
09/05/2020 19:00,67.21,67.21,67.21,-1,-1
09/05/2020 20:00,69.18,69.18,69.18,-1,-1
09/05/2020 21:00,71.31,71.31,71.31,-1,-1
09/05/2020 22:00,73.56,73.56,73.56,-1,-1
09/05/2020 23:00,76.18,76.18,76.18,76.18,76.18
10/05/2020 00:00,79.13,79.82,80.51,79.13,80.51
10/05/2020 01:00,81.29,85.14,89.04,81.29,89.04
10/05/2020 02:00,80.9,92.24,103.77,80.9,103.77
10/05/2020 03:00,78.18,100.36,123.03,78.18,123.03
10/05/2020 04:00,74.62,108.38,143.11,74.62,143.11
10/05/2020 05:00,71.29,115.44,161.14,71.29,161.14
10/05/2020 06:00,68.94,121.16,175.52,68.94,175.52
10/05/2020 07:00,67.5,125.28,185.73,67.5,185.73
10/05/2020 08:00,66.05,127.3,191.65,66.05,191.65
10/05/2020 09:00,63.98,126.64,192.64,63.98,192.64
10/05/2020 10:00,61.01,123,188.43,61.01,188.43
10/05/2020 11:00,57.07,116.59,179.49,57.07,179.49
