Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH. LA FORTALEZA,EH. LA FORTALEZA,EH. LA FORTALEZA,EH. LA FORTALEZA,EH. LA FORTALEZA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0,0,0,-1,-1
09/05/2020 08:00,0,0,0,-1,-1
09/05/2020 09:00,0.02,0.02,0.02,-1,-1
09/05/2020 10:00,0.92,0.92,0.92,-1,-1
09/05/2020 11:00,5.91,5.91,5.91,-1,-1
09/05/2020 12:00,17.69,17.69,17.69,-1,-1
09/05/2020 13:00,35.17,35.17,35.17,-1,-1
09/05/2020 14:00,54.96,54.96,54.96,-1,-1
09/05/2020 15:00,73.29,73.29,73.29,-1,-1
09/05/2020 16:00,87.23,87.23,87.23,-1,-1
09/05/2020 17:00,95.77,95.77,95.77,-1,-1
09/05/2020 18:00,100.64,100.64,100.64,-1,-1
09/05/2020 19:00,104.59,104.59,104.59,-1,-1
09/05/2020 20:00,109.09,109.09,109.09,-1,-1
09/05/2020 21:00,114.15,114.15,114.15,-1,-1
09/05/2020 22:00,119.39,119.39,119.39,-1,-1
09/05/2020 23:00,124.58,124.58,124.58,124.58,124.58
10/05/2020 00:00,127.56,130.15,132.76,127.56,132.76
10/05/2020 01:00,122.72,138.13,153.77,122.72,153.77
10/05/2020 02:00,112.28,150.85,190.41,112.28,190.41
10/05/2020 03:00,104.81,168.31,234.24,104.81,234.24
10/05/2020 04:00,103.3,187.21,275.49,103.3,275.49
10/05/2020 05:00,104.94,203.76,308.94,104.94,308.94
10/05/2020 06:00,106.97,216.57,334.3,106.97,334.3
10/05/2020 07:00,108.89,226.31,353.31,108.89,353.31
10/05/2020 08:00,110.39,233.39,367.09,110.39,367.09
10/05/2020 09:00,110.33,235.99,373.01,110.33,373.01
10/05/2020 10:00,107.48,231.75,367.52,107.48,367.52
10/05/2020 11:00,101.68,220.52,350.45,101.68,350.45
