Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. CHACUEY,E. CHACUEY,E. CHACUEY,E. CHACUEY,E. CHACUEY
Tipo:,E,E,E,E,E
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0.08,0.08,0.08,-1,-1
09/05/2020 04:00,0.41,0.41,0.41,-1,-1
09/05/2020 05:00,1.26,1.26,1.26,-1,-1
09/05/2020 06:00,2.93,2.93,2.93,-1,-1
09/05/2020 07:00,5.77,5.77,5.77,-1,-1
09/05/2020 08:00,10.23,10.23,10.23,-1,-1
09/05/2020 09:00,16.72,16.72,16.72,-1,-1
09/05/2020 10:00,25.52,25.52,25.52,-1,-1
09/05/2020 11:00,36.59,36.59,36.59,-1,-1
09/05/2020 12:00,49.71,49.71,49.71,-1,-1
09/05/2020 13:00,64.47,64.47,64.47,-1,-1
09/05/2020 14:00,80.35,80.35,80.35,-1,-1
09/05/2020 15:00,96.82,96.82,96.82,-1,-1
09/05/2020 16:00,113.27,113.27,113.27,-1,-1
09/05/2020 17:00,129.26,129.26,129.26,-1,-1
09/05/2020 18:00,144.52,144.52,144.52,-1,-1
09/05/2020 19:00,158.94,158.94,158.94,-1,-1
09/05/2020 20:00,172.45,172.45,172.45,-1,-1
09/05/2020 21:00,185.12,185.12,185.12,-1,-1
09/05/2020 22:00,197.16,197.16,197.16,-1,-1
09/05/2020 23:00,208.88,208.88,208.88,208.88,208.88
10/05/2020 00:00,220.43,220.63,220.82,220.43,220.82
10/05/2020 01:00,231.73,232.75,233.77,231.73,233.77
10/05/2020 02:00,242.68,245.53,248.4,242.68,248.4
10/05/2020 03:00,253.19,259.08,265.04,253.19,265.04
10/05/2020 04:00,262.75,273.23,283.84,262.75,283.84
10/05/2020 05:00,270.57,287.53,304.76,270.57,304.76
10/05/2020 06:00,275.82,301.44,327.48,275.82,327.48
10/05/2020 07:00,278.23,314.34,351.09,278.23,351.09
10/05/2020 08:00,277.84,325.57,374.21,277.84,374.21
10/05/2020 09:00,274.77,334.45,395.36,274.77,395.36
10/05/2020 10:00,269.2,340.35,413.06,269.2,413.06
10/05/2020 11:00,261.3,342.77,426.12,261.3,426.12
