Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,MAO,MAO,MAO,MAO,MAO
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,5,5,5,-1,-1
08/05/2020 00:00,5,5,5,-1,-1
08/05/2020 01:00,5,5,5,-1,-1
08/05/2020 02:00,5,5,5,-1,-1
08/05/2020 03:00,5,5,5,-1,-1
08/05/2020 04:00,5,5,5,-1,-1
08/05/2020 05:00,5,5,5,-1,-1
08/05/2020 06:00,5,5,5,-1,-1
08/05/2020 07:00,5,5,5,-1,-1
08/05/2020 08:00,5,5,5,-1,-1
08/05/2020 09:00,5,5,5,-1,-1
08/05/2020 10:00,5,5,5,-1,-1
08/05/2020 11:00,5,5,5,-1,-1
08/05/2020 12:00,5,5,5,-1,-1
08/05/2020 13:00,5,5,5,-1,-1
08/05/2020 14:00,5,5,5,-1,-1
08/05/2020 15:00,5,5,5,-1,-1
08/05/2020 16:00,5,5,5,-1,-1
08/05/2020 17:00,5,5,5,-1,-1
08/05/2020 18:00,5,5,5,-1,-1
08/05/2020 19:00,5,5,5,-1,-1
08/05/2020 20:00,5,5,5,-1,-1
08/05/2020 21:00,5,5,5,-1,-1
08/05/2020 22:00,5,5,5,-1,-1
08/05/2020 23:00,5,5,5,-1,-1
09/05/2020 00:00,5,5,5,-1,-1
09/05/2020 01:00,5,5,5,-1,-1
09/05/2020 02:00,5,5,5,-1,-1
09/05/2020 03:00,5,5,5,-1,-1
09/05/2020 04:00,5.04,5.04,5.04,-1,-1
09/05/2020 05:00,5.4,5.4,5.4,-1,-1
09/05/2020 06:00,6.56,6.56,6.56,-1,-1
09/05/2020 07:00,9.23,9.23,9.23,-1,-1
09/05/2020 08:00,14.09,14.09,14.09,-1,-1
09/05/2020 09:00,21.33,21.33,21.33,-1,-1
09/05/2020 10:00,30.59,30.59,30.59,-1,-1
09/05/2020 11:00,41.12,41.12,41.12,-1,-1
09/05/2020 12:00,51.87,51.87,51.87,-1,-1
09/05/2020 13:00,61.85,61.85,61.85,-1,-1
09/05/2020 14:00,70.37,70.37,70.37,-1,-1
09/05/2020 15:00,77.35,77.35,77.35,-1,-1
09/05/2020 16:00,83.09,83.09,83.09,-1,-1
09/05/2020 17:00,87.95,87.95,87.95,-1,-1
09/05/2020 18:00,92.3,92.3,92.3,-1,-1
09/05/2020 19:00,96.45,96.45,96.45,-1,-1
09/05/2020 20:00,100.74,100.74,100.74,-1,-1
09/05/2020 21:00,105.59,105.59,105.59,-1,-1
09/05/2020 22:00,111.48,111.48,111.48,-1,-1
09/05/2020 23:00,118.8,118.8,118.8,118.8,118.8
10/05/2020 00:00,127.1,127.54,127.98,127.1,127.98
10/05/2020 01:00,134.87,137.24,139.64,134.87,139.64
10/05/2020 02:00,140.46,147.22,154.08,140.46,154.08
10/05/2020 03:00,142.13,156.82,171.77,142.13,171.77
10/05/2020 04:00,139.88,165.34,191.34,139.88,191.34
10/05/2020 05:00,134.79,172.06,210.27,134.79,210.27
10/05/2020 06:00,127.76,176.27,226.18,127.76,226.18
10/05/2020 07:00,119.71,177.42,237,119.71,237
10/05/2020 08:00,111.12,175.3,241.76,111.12,241.76
10/05/2020 09:00,102.71,169.92,239.72,102.71,239.72
10/05/2020 10:00,94.34,161.5,231.41,94.34,231.41
10/05/2020 11:00,85.68,150.4,217.9,85.68,217.9
