Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0.06,0.06,0.06,-1,-1
09/05/2020 05:00,0.47,0.47,0.47,-1,-1
09/05/2020 06:00,1.84,1.84,1.84,-1,-1
09/05/2020 07:00,5.37,5.37,5.37,-1,-1
09/05/2020 08:00,13.08,13.08,13.08,-1,-1
09/05/2020 09:00,27.61,27.61,27.61,-1,-1
09/05/2020 10:00,51.69,51.69,51.69,-1,-1
09/05/2020 11:00,86.95,86.95,86.95,-1,-1
09/05/2020 12:00,133.25,133.25,133.25,-1,-1
09/05/2020 13:00,188.73,188.73,188.73,-1,-1
09/05/2020 14:00,250.25,250.25,250.25,-1,-1
09/05/2020 15:00,313.8,313.8,313.8,-1,-1
09/05/2020 16:00,375.38,375.38,375.38,-1,-1
09/05/2020 17:00,431.6,431.6,431.6,-1,-1
09/05/2020 18:00,480.46,480.46,480.46,-1,-1
09/05/2020 19:00,521.71,521.71,521.71,-1,-1
09/05/2020 20:00,556.41,556.41,556.41,-1,-1
09/05/2020 21:00,586.29,586.29,586.29,-1,-1
09/05/2020 22:00,613.29,613.29,613.29,-1,-1
09/05/2020 23:00,639.55,639.55,639.55,639.55,639.55
10/05/2020 00:00,667,667.37,667.74,667,667.74
10/05/2020 01:00,696.75,698.88,701.02,696.75,701.02
10/05/2020 02:00,728.51,735.58,742.74,728.51,742.74
10/05/2020 03:00,759.81,777.94,796.32,759.81,796.32
10/05/2020 04:00,786.49,825.11,864.34,786.49,864.34
10/05/2020 05:00,803.31,875.1,948.13,803.31,948.13
10/05/2020 06:00,807.5,925.13,1045.04,807.5,1045.04
10/05/2020 07:00,799.74,972.07,1148.09,799.74,1148.09
10/05/2020 08:00,782.26,1012.5,1248.18,782.26,1248.18
10/05/2020 09:00,756.85,1042.92,1336.36,756.85,1336.36
10/05/2020 10:00,725.09,1060.07,1404.37,725.09,1404.37
10/05/2020 11:00,688.29,1061.58,1445.98,688.29,1445.98
