Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,5,5,5,-1,-1
08/05/2020 00:00,5,5,5,-1,-1
08/05/2020 01:00,5,5,5,-1,-1
08/05/2020 02:00,5,5,5,-1,-1
08/05/2020 03:00,5,5,5,-1,-1
08/05/2020 04:00,5,5,5,-1,-1
08/05/2020 05:00,5,5,5,-1,-1
08/05/2020 06:00,5,5,5,-1,-1
08/05/2020 07:00,5,5,5,-1,-1
08/05/2020 08:00,5,5,5,-1,-1
08/05/2020 09:00,5,5,5,-1,-1
08/05/2020 10:00,5,5,5,-1,-1
08/05/2020 11:00,5,5,5,-1,-1
08/05/2020 12:00,5,5,5,-1,-1
08/05/2020 13:00,5,5,5,-1,-1
08/05/2020 14:00,5,5,5,-1,-1
08/05/2020 15:00,5,5,5,-1,-1
08/05/2020 16:00,5,5,5,-1,-1
08/05/2020 17:00,5,5,5,-1,-1
08/05/2020 18:00,5,5,5,-1,-1
08/05/2020 19:00,5,5,5,-1,-1
08/05/2020 20:00,5,5,5,-1,-1
08/05/2020 21:00,5,5,5,-1,-1
08/05/2020 22:00,5,5,5,-1,-1
08/05/2020 23:00,5,5,5,-1,-1
09/05/2020 00:00,5,5,5,-1,-1
09/05/2020 01:00,5,5,5,-1,-1
09/05/2020 02:00,5,5,5,-1,-1
09/05/2020 03:00,5.16,5.16,5.16,-1,-1
09/05/2020 04:00,6.18,6.18,6.18,-1,-1
09/05/2020 05:00,9.28,9.28,9.28,-1,-1
09/05/2020 06:00,16,16,16,-1,-1
09/05/2020 07:00,28.31,28.31,28.31,-1,-1
09/05/2020 08:00,48.31,48.31,48.31,-1,-1
09/05/2020 09:00,77.21,77.21,77.21,-1,-1
09/05/2020 10:00,114.89,114.89,114.89,-1,-1
09/05/2020 11:00,159.96,159.96,159.96,-1,-1
09/05/2020 12:00,210.2,210.2,210.2,-1,-1
09/05/2020 13:00,262.81,262.81,262.81,-1,-1
09/05/2020 14:00,314.88,314.88,314.88,-1,-1
09/05/2020 15:00,363.83,363.83,363.83,-1,-1
09/05/2020 16:00,407.58,407.58,407.58,-1,-1
09/05/2020 17:00,445.09,445.09,445.09,-1,-1
09/05/2020 18:00,476.55,476.55,476.55,-1,-1
09/05/2020 19:00,502.87,502.87,502.87,-1,-1
09/05/2020 20:00,525.32,525.32,525.32,-1,-1
09/05/2020 21:00,545.53,545.53,545.53,-1,-1
09/05/2020 22:00,565.28,565.28,565.28,-1,-1
09/05/2020 23:00,586.42,586.42,586.42,586.42,586.42
10/05/2020 00:00,609.68,610.59,611.51,609.68,611.51
10/05/2020 01:00,633.86,638.87,643.91,633.86,643.91
10/05/2020 02:00,657.48,671.33,685.31,657.48,685.31
10/05/2020 03:00,677.73,707.02,736.63,677.73,736.63
10/05/2020 04:00,690.62,744.24,798.55,690.62,798.55
10/05/2020 05:00,693.82,780.92,869.28,693.82,869.28
10/05/2020 06:00,688.04,814.8,943.61,688.04,943.61
10/05/2020 07:00,674.57,843.48,1015.43,674.57,1015.43
10/05/2020 08:00,654.65,864.43,1078.33,654.65,1078.33
10/05/2020 09:00,628.61,875.26,1127.14,628.61,1127.14
10/05/2020 10:00,597.9,874.27,1156.88,597.9,1156.88
10/05/2020 11:00,562.87,860.69,1165.62,562.87,1165.62
