Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,CASTAÑUELAS,CASTAÑUELAS,CASTAÑUELAS,CASTAÑUELAS
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0.01,0
08/05/2020 20:00,0,0,0.05,0
08/05/2020 21:00,0,0,0.17,0
08/05/2020 22:00,0.02,0,0.45,0
08/05/2020 23:00,0.09,0,0.96,0
09/05/2020 00:00,0.28,0,1.85,0
09/05/2020 01:00,0.67,0,3.26,0
09/05/2020 02:00,1.38,0,5.34,0.03
09/05/2020 03:00,2.53,0.02,8.22,0.15
09/05/2020 04:00,4.27,0.1,12,0.4
09/05/2020 05:00,6.7,0.28,16.69,0.88
09/05/2020 06:00,9.92,0.64,22.27,1.68
09/05/2020 07:00,13.94,1.24,28.64,2.89
09/05/2020 08:00,18.71,2.16,35.62,4.62
09/05/2020 09:00,24.09,3.46,42.98,6.9
09/05/2020 10:00,29.89,5.2,50.46,9.71
09/05/2020 11:00,35.93,7.37,57.81,12.99
09/05/2020 12:00,42,9.93,64.81,16.64
09/05/2020 13:00,47.91,12.81,71.24,20.53
09/05/2020 14:00,53.47,15.92,76.93,24.53
09/05/2020 15:00,58.55,19.17,81.76,28.51
09/05/2020 16:00,63.06,22.47,85.72,32.39
09/05/2020 17:00,66.98,25.78,88.86,36.13
09/05/2020 18:00,70.36,29.08,91.31,39.71
09/05/2020 19:00,73.29,32.37,93.21,43.15
09/05/2020 20:00,75.89,35.66,94.74,46.46
09/05/2020 21:00,78.29,38.96,96.09,49.69
09/05/2020 22:00,80.62,42.28,97.41,52.92
09/05/2020 23:00,83.02,45.69,98.86,56.23
