Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. CHACUEY,E. Chacuey,E. CHACUEY,E. CHACUEY,E. CHACUEY
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,5,0,0,0
08/05/2020 00:00,0,5,0,0,0
08/05/2020 01:00,0,5,0,0,0
08/05/2020 02:00,0,5,0,0,0
08/05/2020 03:00,0,5,0,0,0
08/05/2020 04:00,0,5,0,0,0
08/05/2020 05:00,0,5,0,0,0
08/05/2020 06:00,0,5,0,0,0
08/05/2020 07:00,0,5,0,0,0
08/05/2020 08:00,0,5,0,0,0
08/05/2020 09:00,0,5,0,0,0
08/05/2020 10:00,0,5,0,0,0
08/05/2020 11:00,0,5,0,0,0
08/05/2020 12:00,0,5,0,0,0
08/05/2020 13:00,0,5,0,0,0
08/05/2020 14:00,0,5,0,0,0
08/05/2020 15:00,0,5,0,0,0
08/05/2020 16:00,0,5,0,0,0
08/05/2020 17:00,0,5,0,0,0
08/05/2020 18:00,0,5,0,0,0
08/05/2020 19:00,0,5,0,0,0
08/05/2020 20:00,0,5,0,0.01,0
08/05/2020 21:00,0,5,0,0.07,0
08/05/2020 22:00,0,5,0,0.32,0
08/05/2020 23:00,0.02,5,0,0.97,0
09/05/2020 00:00,0.16,5,0,2.33,0
09/05/2020 01:00,0.63,5,0,4.81,0
09/05/2020 02:00,1.73,5,0,8.92,0
09/05/2020 03:00,3.82,5,0,15.26,0.08
09/05/2020 04:00,7.4,5,0.06,24.41,0.41
09/05/2020 05:00,12.99,5,0.31,36.82,1.26
09/05/2020 06:00,21.12,5,0.99,52.71,2.93
09/05/2020 07:00,32.21,5,2.32,72.09,5.77
09/05/2020 08:00,46.46,5,4.61,94.74,10.23
09/05/2020 09:00,63.79,5,8.19,120.16,16.72
09/05/2020 10:00,83.81,5,13.4,147.57,25.52
09/05/2020 11:00,105.89,5,20.45,176.01,36.59
09/05/2020 12:00,129.28,5,29.35,204.49,49.71
09/05/2020 13:00,153.15,5,39.96,232.1,64.47
09/05/2020 14:00,176.71,5,51.99,257.97,80.35
09/05/2020 15:00,199.21,5,65.01,281.32,96.82
09/05/2020 16:00,219.99,5,78.62,301.55,113.27
09/05/2020 17:00,238.56,5,92.41,318.38,129.26
09/05/2020 18:00,254.7,5,106.08,331.85,144.52
09/05/2020 19:00,268.45,5,119.48,342.29,158.94
09/05/2020 20:00,280.08,5,132.58,350.21,172.45
09/05/2020 21:00,290.02,5,145.37,356.25,185.12
09/05/2020 22:00,298.8,5,157.9,361.11,197.16
09/05/2020 23:00,306.96,5,170.26,365.49,208.88
