Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. MAGUACA,E. Maguaca,E. MAGUACA,E. MAGUACA,E. MAGUACA
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,5,0,0,0
08/05/2020 00:00,0,5,0,0,0
08/05/2020 01:00,0,5,0,0,0
08/05/2020 02:00,0,5,0,0,0
08/05/2020 03:00,0,5,0,0,0
08/05/2020 04:00,0,5,0,0,0
08/05/2020 05:00,0,5,0,0,0
08/05/2020 06:00,0,5,0,0,0
08/05/2020 07:00,0,5,0,0,0
08/05/2020 08:00,0,5,0,0,0
08/05/2020 09:00,0,5,0,0,0
08/05/2020 10:00,0,5,0,0,0
08/05/2020 11:00,0,5,0,0,0
08/05/2020 12:00,0,5,0,0,0
08/05/2020 13:00,0,5,0,0,0
08/05/2020 14:00,0,5,0,0,0
08/05/2020 15:00,0,5,0,0,0
08/05/2020 16:00,0,5,0,0,0
08/05/2020 17:00,0,5,0,0,0
08/05/2020 18:00,0,5,0,0,0
08/05/2020 19:00,0,5,0,0,0
08/05/2020 20:00,0,5,0,0.03,0
08/05/2020 21:00,0,5,0,0.18,0
08/05/2020 22:00,0,5,0,0.6,0
08/05/2020 23:00,0.07,5,0,1.55,0
09/05/2020 00:00,0.32,5,0,3.34,0
09/05/2020 01:00,0.98,5,0,6.28,0
09/05/2020 02:00,2.36,5,0,10.6,0.02
09/05/2020 03:00,4.82,5,0.01,16.4,0.14
09/05/2020 04:00,8.57,5,0.09,23.61,0.54
09/05/2020 05:00,13.69,5,0.37,31.98,1.46
09/05/2020 06:00,20.05,5,1.03,41.12,3.16
09/05/2020 07:00,27.34,5,2.31,50.52,5.87
09/05/2020 08:00,35.17,5,4.4,59.66,9.59
09/05/2020 09:00,43.06,5,7.32,68.08,14.15
09/05/2020 10:00,50.52,5,10.94,75.39,19.27
09/05/2020 11:00,57.11,5,15.02,81.28,24.54
09/05/2020 12:00,62.49,5,19.24,85.53,29.59
09/05/2020 13:00,66.51,5,23.33,88.11,34.09
09/05/2020 14:00,69.24,5,27.08,89.25,37.87
09/05/2020 15:00,70.95,5,30.41,89.32,40.98
09/05/2020 16:00,71.93,5,33.33,88.71,43.55
09/05/2020 17:00,72.46,5,35.91,87.74,45.72
09/05/2020 18:00,72.77,5,38.25,86.69,47.65
09/05/2020 19:00,73.13,5,40.5,85.83,49.52
09/05/2020 20:00,73.8,5,42.84,85.46,51.54
09/05/2020 21:00,75.02,5,45.45,85.8,53.93
09/05/2020 22:00,76.96,5,48.48,87,56.83
09/05/2020 23:00,79.64,5,52,89.09,60.31
