Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. MAO,E. Mao,E. MAO,E. MAO,E. MAO
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,5,0,0,0
08/05/2020 00:00,0,5,0,0,0
08/05/2020 01:00,0,5,0,0,0
08/05/2020 02:00,0,5,0,0,0
08/05/2020 03:00,0,5,0,0,0
08/05/2020 04:00,0,5,0,0,0
08/05/2020 05:00,0,5,0,0,0
08/05/2020 06:00,0,5,0,0,0
08/05/2020 07:00,0,5,0,0,0
08/05/2020 08:00,0,5,0,0,0
08/05/2020 09:00,0,5,0,0,0
08/05/2020 10:00,0,5,0,0,0
08/05/2020 11:00,0,5,0,0,0
08/05/2020 12:00,0,5,0,0,0
08/05/2020 13:00,0,5,0,0,0
08/05/2020 14:00,0,5,0,0,0
08/05/2020 15:00,0,5,0,0,0
08/05/2020 16:00,0,5,0,0,0
08/05/2020 17:00,0,5,0,0,0
08/05/2020 18:00,0,5,0,0,0
08/05/2020 19:00,0,5,0,0,0
08/05/2020 20:00,0,5,0,0,0
08/05/2020 21:00,0,5,0,0,0
08/05/2020 22:00,0,5,0,0.01,0
08/05/2020 23:00,0,5,0,0.15,0
09/05/2020 00:00,0,5,0,0.78,0
09/05/2020 01:00,0.01,5,0,2.95,0
09/05/2020 02:00,0.2,5,0,8.79,0
09/05/2020 03:00,0.99,5,0,21.88,0
09/05/2020 04:00,3.36,5,0,46.83,0
09/05/2020 05:00,9.42,5,0,88.48,0.02
09/05/2020 06:00,22.46,5,0,151.08,0.25
09/05/2020 07:00,46.17,5,0.11,236.88,1.16
09/05/2020 08:00,83.33,5,0.62,345.23,3.67
09/05/2020 09:00,135.6,5,2.05,472.33,9.76
09/05/2020 10:00,203.46,5,5.54,611.61,22.2
09/05/2020 11:00,286.07,5,12.99,754.89,43.6
09/05/2020 12:00,381.04,5,26.56,893.61,75.44
09/05/2020 13:00,484.2,5,47.64,1019.82,118.26
09/05/2020 14:00,589.52,5,76.47,1126.93,171.4
09/05/2020 15:00,690.06,5,112.55,1210.23,232.35
09/05/2020 16:00,779.67,5,154.94,1267.33,297.24
09/05/2020 17:00,854.67,5,202.12,1298.56,361.96
09/05/2020 18:00,913.88,5,252.12,1307.1,422.97
09/05/2020 19:00,957.64,5,302.57,1298.33,477.53
09/05/2020 20:00,987.26,5,351.09,1279.02,524.25
09/05/2020 21:00,1005.17,5,395.97,1255.88,563.49
09/05/2020 22:00,1015.1,5,436.85,1234.55,597.16
09/05/2020 23:00,1021.67,5,474.82,1219.19,628.06
