Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. MONCIÓN,E. Monción,E. MONCIÓN,E. MONCIÓN,E. MONCIÓN
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,5,5,5,5,5
08/05/2020 00:00,5,5,5,5,5
08/05/2020 01:00,5,5,5,5,5
08/05/2020 02:00,5,5,5,5,5
08/05/2020 03:00,5,5,5,5,5
08/05/2020 04:00,5,5,5,5,5
08/05/2020 05:00,5,5,5,5,5
08/05/2020 06:00,5,5,5,5,5
08/05/2020 07:00,5,5,5,5,5
08/05/2020 08:00,5,5,5,5,5
08/05/2020 09:00,5,5,5,5,5
08/05/2020 10:00,5,5,5,5,5
08/05/2020 11:00,5,5,5,5,5
08/05/2020 12:00,5,5,5,5,5
08/05/2020 13:00,5,5,5,5,5
08/05/2020 14:00,5,5,5,5,5
08/05/2020 15:00,5,5,5,5,5
08/05/2020 16:00,5,5,5,5,5
08/05/2020 17:00,5,5,5,5,5
08/05/2020 18:00,5,5,5,5,5
08/05/2020 19:00,5,5,5,5,5
08/05/2020 20:00,5,5,5,5,5
08/05/2020 21:00,5,5,5,5,5
08/05/2020 22:00,5,5,5,5.07,5
08/05/2020 23:00,5,5,5,5.44,5
09/05/2020 00:00,5,5,5,6.54,5
09/05/2020 01:00,5.09,5,5,9.08,5
09/05/2020 02:00,5.59,5,5,13.9,5
09/05/2020 03:00,7.04,5,5,21.67,5
09/05/2020 04:00,10.31,5,5,32.86,5
09/05/2020 05:00,16.27,5,5,47.52,5.11
09/05/2020 06:00,25.42,5,5.04,65.22,5.66
09/05/2020 07:00,37.72,5,5.33,85.12,7.19
09/05/2020 08:00,52.62,5,6.25,105.96,10.41
09/05/2020 09:00,69.2,5,8.33,126.42,15.86
09/05/2020 10:00,86.39,5,12.13,145.42,23.58
09/05/2020 11:00,102.98,5,17.77,162.04,33.15
09/05/2020 12:00,117.88,5,24.94,175.51,43.77
09/05/2020 13:00,130.17,5,33.02,185.21,54.43
09/05/2020 14:00,139.3,5,41.26,190.92,64.21
09/05/2020 15:00,145.32,5,49.08,193.03,72.49
09/05/2020 16:00,148.79,5,56.12,192.43,79.25
09/05/2020 17:00,150.51,5,62.32,190.2,84.8
09/05/2020 18:00,151.24,5,67.84,187.24,89.48
09/05/2020 19:00,151.58,5,72.87,184.27,93.65
09/05/2020 20:00,152.05,5,77.64,181.85,97.63
09/05/2020 21:00,153.13,5,82.47,180.47,101.79
09/05/2020 22:00,155.3,5,87.73,180.59,106.54
09/05/2020 23:00,159.01,5,93.81,182.66,112.34
