Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. TAVERA,E. Tavera,E. TAVERA,E. TAVERA,E. TAVERA
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,5,0,0,0
08/05/2020 00:00,0,5,0,0,0
08/05/2020 01:00,0,5,0,0,0
08/05/2020 02:00,0,5,0,0,0
08/05/2020 03:00,0,5,0,0,0
08/05/2020 04:00,0,5,0,0,0
08/05/2020 05:00,0,5,0,0,0
08/05/2020 06:00,0,5,0,0,0
08/05/2020 07:00,0,5,0,0,0
08/05/2020 08:00,0,5,0,0,0
08/05/2020 09:00,0,5,0,0,0
08/05/2020 10:00,0,5,0,0,0
08/05/2020 11:00,0,5,0,0,0
08/05/2020 12:00,0,5,0,0,0
08/05/2020 13:00,0,5,0,0,0
08/05/2020 14:00,0,5,0,0,0
08/05/2020 15:00,0,5,0,0,0
08/05/2020 16:00,0,5,0,0,0
08/05/2020 17:00,0,5,0,0,0
08/05/2020 18:00,0,5,0,0,0
08/05/2020 19:00,0,5,0,0,0
08/05/2020 20:00,0,5,0,0,0
08/05/2020 21:00,0,5,0,0,0
08/05/2020 22:00,0,5,0,0,0
08/05/2020 23:00,0,5,0,0.01,0
09/05/2020 00:00,0,5,0,0.11,0
09/05/2020 01:00,0,5,0,0.53,0
09/05/2020 02:00,0.05,5,0,1.66,0
09/05/2020 03:00,0.35,5,0,4.13,0
09/05/2020 04:00,1.28,5,0,8.8,0
09/05/2020 05:00,3.43,5,0,16.97,0.02
09/05/2020 06:00,7.59,5,0.02,30.58,0.26
09/05/2020 07:00,14.45,5,0.23,52.71,1.12
09/05/2020 08:00,24.47,5,0.98,88.03,3.15
09/05/2020 09:00,38.06,5,2.73,142.38,7.06
09/05/2020 10:00,55.86,5,6.07,220.89,13.38
09/05/2020 11:00,79.03,5,11.5,326.1,22.27
09/05/2020 12:00,109.52,5,19.1,457.26,33.66
09/05/2020 13:00,150.17,5,28.64,610.32,47.66
09/05/2020 14:00,204.81,5,39.84,778.03,64.81
09/05/2020 15:00,277.31,5,52.61,950.37,86.19
09/05/2020 16:00,369.63,5,67.38,1116.36,113.34
09/05/2020 17:00,480.2,5,85.02,1266.68,148.68
09/05/2020 18:00,603.67,5,106.78,1394.97,195.23
09/05/2020 19:00,732.25,5,134.48,1496.97,254.67
09/05/2020 20:00,857.56,5,170.26,1569.3,325.59
09/05/2020 21:00,972.17,5,215.51,1610.29,403.26
09/05/2020 22:00,1070.25,5,269.56,1622.4,481.29
09/05/2020 23:00,1147.82,5,329.31,1613.12,553.82
