Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,EH. LA FORTALEZA,EH. LA FORTALEZA,EH. LA FORTALEZA,EH. LA FORTALEZA
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0,0
09/05/2020 00:00,0,0,0,0
09/05/2020 01:00,0,0,0,0
09/05/2020 02:00,0,0,0.3,0
09/05/2020 03:00,0,0,2.66,0
09/05/2020 04:00,0,0,10.3,0
09/05/2020 05:00,0.15,0,25.5,0
09/05/2020 06:00,2.18,0,48.61,0
09/05/2020 07:00,10.26,0,78.54,0
09/05/2020 08:00,27.38,0,113.75,0
09/05/2020 09:00,53.07,0,152.01,0.02
09/05/2020 10:00,83.65,0,189.3,0.92
09/05/2020 11:00,114.59,0.13,221.31,5.91
09/05/2020 12:00,142.86,1.87,246.24,17.69
09/05/2020 13:00,167.39,8.2,264.86,35.17
09/05/2020 14:00,187.69,20.05,278.04,54.96
09/05/2020 15:00,201.88,34.88,284.21,73.29
09/05/2020 16:00,207.66,48.78,281.03,87.23
09/05/2020 17:00,205.34,59.45,269.35,95.77
09/05/2020 18:00,198.98,67.17,254.38,100.64
09/05/2020 19:00,193.41,73.61,241.9,104.59
09/05/2020 20:00,190.71,79.92,234.05,109.09
09/05/2020 21:00,190.43,86.31,229.96,114.15
09/05/2020 22:00,191.5,92.61,228.06,119.39
09/05/2020 23:00,193.26,98.69,227.4,124.58
