Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,JARACOBA,JARACOBA,JARACOBA,JARACOBA
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0,0
09/05/2020 00:00,0,0,0,0
09/05/2020 01:00,0,0,0,0
09/05/2020 02:00,0,0,0.1,0
09/05/2020 03:00,0,0,0.89,0
09/05/2020 04:00,0,0,4.21,0
09/05/2020 05:00,0.07,0,14.11,0
09/05/2020 06:00,0.78,0,35.55,0
09/05/2020 07:00,3.47,0,71.93,0
09/05/2020 08:00,11.02,0,124.23,0
09/05/2020 09:00,28.31,0,191.33,0.02
09/05/2020 10:00,60.08,0,270.31,0.47
09/05/2020 11:00,107.93,0.11,355.9,2.41
09/05/2020 12:00,169.02,0.93,440.66,8.06
09/05/2020 13:00,237.4,3.53,517.98,21.34
09/05/2020 14:00,306.52,9.98,584.32,45.36
09/05/2020 15:00,371.13,23.13,638.39,79.69
09/05/2020 16:00,427.55,44.65,678.46,120.37
09/05/2020 17:00,472.45,72.99,701.26,161.67
09/05/2020 18:00,502.85,103.87,705.37,198.19
09/05/2020 19:00,518.04,132.9,694.33,226.89
09/05/2020 20:00,521.23,157.84,676.01,248.36
09/05/2020 21:00,518.47,179.05,657.69,265.35
09/05/2020 22:00,515.12,198.05,642.94,280.49
09/05/2020 23:00,514,216.04,632.42,295.19
