Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,MAO,MAO,MAO,MAO
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,5,5,5,5
08/05/2020 00:00,5,5,5,5
08/05/2020 01:00,5,5,5,5
08/05/2020 02:00,5,5,5,5
08/05/2020 03:00,5,5,5,5
08/05/2020 04:00,5,5,5,5
08/05/2020 05:00,5,5,5,5
08/05/2020 06:00,5,5,5,5
08/05/2020 07:00,5,5,5,5
08/05/2020 08:00,5,5,5,5
08/05/2020 09:00,5,5,5,5
08/05/2020 10:00,5,5,5,5
08/05/2020 11:00,5,5,5,5
08/05/2020 12:00,5,5,5,5
08/05/2020 13:00,5,5,5,5
08/05/2020 14:00,5,5,5,5
08/05/2020 15:00,5,5,5,5
08/05/2020 16:00,5,5,5,5
08/05/2020 17:00,5,5,5,5
08/05/2020 18:00,5,5,5,5
08/05/2020 19:00,5,5,5,5
08/05/2020 20:00,5,5,5,5
08/05/2020 21:00,5,5,5.04,5
08/05/2020 22:00,5,5,5.33,5
08/05/2020 23:00,5,5,6.3,5
09/05/2020 00:00,5.05,5,8.64,5
09/05/2020 01:00,5.41,5,13.23,5
09/05/2020 02:00,6.62,5,20.84,5
09/05/2020 03:00,9.52,5,31.97,5
09/05/2020 04:00,15.09,5,46.75,5.04
09/05/2020 05:00,23.94,5.01,64.79,5.4
09/05/2020 06:00,36.11,5.16,85.21,6.56
09/05/2020 07:00,51.1,5.8,106.71,9.23
09/05/2020 08:00,67.94,7.42,127.89,14.09
09/05/2020 09:00,85.53,10.62,147.59,21.33
09/05/2020 10:00,102.62,15.71,164.86,30.59
09/05/2020 11:00,118.06,22.47,178.91,41.12
09/05/2020 12:00,130.85,30.32,189.05,51.87
09/05/2020 13:00,140.38,38.49,195,61.85
09/05/2020 14:00,146.65,46.36,197.16,70.37
09/05/2020 15:00,150.22,53.52,196.43,77.35
09/05/2020 16:00,151.98,59.88,193.98,83.09
09/05/2020 17:00,152.71,65.56,190.79,87.95
09/05/2020 18:00,153.06,70.76,187.64,92.3
09/05/2020 19:00,153.56,75.7,185.1,96.45
09/05/2020 20:00,154.67,80.66,183.62,100.74
09/05/2020 21:00,156.85,86.02,183.65,105.59
09/05/2020 22:00,160.61,92.2,185.7,111.48
09/05/2020 23:00,166.33,99.54,190.09,118.8
