Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,R. CANA - R. YAQUE DEL NORTE,R. CANA - R. YAQUE DEL NORTE,R. CANA - R. YAQUE DEL NORTE,R. CANA - R. YAQUE DEL NORTE
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0.02,0
08/05/2020 22:00,0,0,0.18,0
08/05/2020 23:00,0,0,0.71,0
09/05/2020 00:00,0.03,0,1.96,0
09/05/2020 01:00,0.26,0,4.44,0
09/05/2020 02:00,0.98,0,8.82,0
09/05/2020 03:00,2.63,0,15.9,0
09/05/2020 04:00,5.78,0,26.51,0.04
09/05/2020 05:00,11.12,0.02,41.3,0.32
09/05/2020 06:00,19.39,0.16,60.62,1.13
09/05/2020 07:00,31.25,0.67,84.5,2.86
09/05/2020 08:00,47.04,1.83,112.65,5.95
09/05/2020 09:00,66.77,3.97,144.38,10.96
09/05/2020 10:00,90.01,7.47,178.61,18.38
09/05/2020 11:00,115.98,12.74,214.05,28.45
09/05/2020 12:00,143.7,20.02,249.34,41.08
09/05/2020 13:00,172.05,29.33,283.15,55.89
09/05/2020 14:00,199.98,40.48,314.27,72.33
09/05/2020 15:00,226.46,53.07,341.69,89.74
09/05/2020 16:00,250.63,66.66,364.75,107.45
09/05/2020 17:00,271.9,80.82,383.25,124.91
09/05/2020 18:00,290.05,95.2,397.41,141.79
09/05/2020 19:00,305.27,109.59,407.79,157.9
09/05/2020 20:00,317.98,123.9,415.2,173.13
09/05/2020 21:00,328.84,138.12,420.6,187.55
09/05/2020 22:00,338.58,152.28,424.97,201.46
09/05/2020 23:00,347.97,166.51,429.2,215.26
