Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0.04,0
08/05/2020 21:00,0,0,0.23,0
08/05/2020 22:00,0,0,0.79,0
08/05/2020 23:00,0.06,0,2.02,0
09/05/2020 00:00,0.35,0,4.39,0
09/05/2020 01:00,1.13,0,8.46,0
09/05/2020 02:00,2.8,0,14.92,0.01
09/05/2020 03:00,5.85,0,24.53,0.1
09/05/2020 04:00,10.82,0.05,38.21,0.47
09/05/2020 05:00,18.13,0.27,57.24,1.39
09/05/2020 06:00,28.01,0.89,83.39,3.19
09/05/2020 07:00,40.45,2.13,119.01,6.27
09/05/2020 08:00,55.36,4.32,166.74,11.01
09/05/2020 09:00,72.63,7.75,229.01,17.55
09/05/2020 10:00,92.47,12.56,307.46,25.84
09/05/2020 11:00,115.61,18.7,402.47,35.81
09/05/2020 12:00,143.47,26.05,512.83,47.59
09/05/2020 13:00,178.02,34.5,635.65,61.69
09/05/2020 14:00,221.64,44.18,766.51,79.26
09/05/2020 15:00,276.63,55.64,899.99,102.17
09/05/2020 16:00,344.55,69.98,1030.34,132.65
09/05/2020 17:00,425.57,88.78,1152.09,172.63
09/05/2020 18:00,518.25,113.79,1260.46,223.15
09/05/2020 19:00,619.61,146.61,1351.79,283.92
09/05/2020 20:00,725.52,188.22,1423.87,353.21
09/05/2020 21:00,831.28,238.49,1476.35,428.1
09/05/2020 22:00,932.18,296.18,1510.88,505.08
09/05/2020 23:00,1024.18,359.14,1530.84,580.66
