Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,R. MAGUA - E. MAO,R. MAGUA - E. MAO,R. MAGUA - E. MAO,R. MAGUA - E. MAO
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0.02,0
09/05/2020 00:00,0,0,0.36,0
09/05/2020 01:00,0,0,2.02,0
09/05/2020 02:00,0.01,0,6.9,0
09/05/2020 03:00,0.37,0,17.35,0
09/05/2020 04:00,2.3,0,35.3,0
09/05/2020 05:00,8.13,0,61.76,0
09/05/2020 06:00,20.65,0,96.64,0
09/05/2020 07:00,41.5,0,138.52,0.27
09/05/2020 08:00,70.53,0.06,184.76,1.94
09/05/2020 09:00,105.8,0.79,231.88,7
09/05/2020 10:00,144.19,3.49,276.46,17.59
09/05/2020 11:00,182.48,10.04,315.97,34.26
09/05/2020 12:00,218.08,21.49,348.79,55.87
09/05/2020 13:00,248.72,37.23,373.63,80.07
09/05/2020 14:00,272.43,55.38,389.32,103.75
09/05/2020 15:00,287.99,73.58,395.44,124.16
09/05/2020 16:00,295.78,89.88,393.09,140.19
09/05/2020 17:00,297.74,103.62,385.02,152.25
09/05/2020 18:00,296.6,115.24,374.61,161.62
09/05/2020 19:00,294.74,125.54,364.64,169.63
09/05/2020 20:00,293.62,135.15,356.7,177.2
09/05/2020 21:00,293.83,144.5,351.27,184.79
09/05/2020 22:00,295.68,153.96,348.49,192.8
09/05/2020 23:00,299.98,164.28,349.07,202.08
