Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. YAGUAJAL - R. GUAYUBÍN,R. Yaguajal - R. Guayubín,R. YAGUAJAL - R. GUAYUBÍN,R. YAGUAJAL - R. GUAYUBÍN,R. YAGUAJAL - R. GUAYUBÍN
Tipo:,Q,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0,0
08/05/2020 00:00,0,0,0,0,0
08/05/2020 01:00,0,0,0,0,0
08/05/2020 02:00,0,0,0,0,0
08/05/2020 03:00,0,0,0,0,0
08/05/2020 04:00,0,0,0,0,0
08/05/2020 05:00,0,0,0,0,0
08/05/2020 06:00,0,0,0,0,0
08/05/2020 07:00,0,0,0,0,0
08/05/2020 08:00,0,0,0,0,0
08/05/2020 09:00,0,0,0,0,0
08/05/2020 10:00,0,0,0,0,0
08/05/2020 11:00,0,0,0,0,0
08/05/2020 12:00,0,0,0,0,0
08/05/2020 13:00,0,0,0,0,0
08/05/2020 14:00,0,0,0,0,0
08/05/2020 15:00,0,0,0,0,0
08/05/2020 16:00,0,0,0,0,0
08/05/2020 17:00,0,0,0,0,0
08/05/2020 18:00,0,0,0,0,0
08/05/2020 19:00,0,0,0,0,0
08/05/2020 20:00,0,0,0,0,0
08/05/2020 21:00,0,0,0,0,0
08/05/2020 22:00,0,0,0,0.14,0
08/05/2020 23:00,0,0,0,0.97,0
09/05/2020 00:00,0.02,0,0,3.6,0
09/05/2020 01:00,0.37,0,0,9.85,0
09/05/2020 02:00,2.02,0,0,22.16,0
09/05/2020 03:00,6.57,0,0,43.02,0
09/05/2020 04:00,16.45,0,0,74.35,0.1
09/05/2020 05:00,34.47,0.15,0.06,117.11,1.05
09/05/2020 06:00,62.66,1.85,0.74,171,4.22
09/05/2020 07:00,101.68,8.05,3.15,234.34,11.56
09/05/2020 08:00,150.73,22.89,8.83,304.27,25.48
09/05/2020 09:00,207.57,49.02,19.79,376.9,47.63
09/05/2020 10:00,269.03,85.86,37.58,448.15,78.12
09/05/2020 11:00,331.41,130.24,62.4,514.36,115.6
09/05/2020 12:00,390.77,177.28,93.08,572.43,157.63
09/05/2020 13:00,443.61,221.15,127.51,619.85,201.08
09/05/2020 14:00,487.2,257.61,163.04,654.9,242.69
09/05/2020 15:00,520.06,285.49,197.21,677.02,279.53
09/05/2020 16:00,542.39,306.2,228.08,687.38,310.13
09/05/2020 17:00,555.93,322.24,254.76,688.6,334.67
09/05/2020 18:00,563.1,335.97,277.51,683.77,354.28
09/05/2020 19:00,566.22,349.02,297.08,675.64,370.31
09/05/2020 20:00,567.33,362.25,314.4,666.49,384.06
09/05/2020 21:00,568.41,376.6,330.63,658.46,397
09/05/2020 22:00,571.47,393.87,347.17,653.66,410.77
09/05/2020 23:00,578.39,416.58,365.51,653.92,427.01
