Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,R. YAQUE - CANA,R. YAQUE - CANA,R. YAQUE - CANA,R. YAQUE - CANA
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,10,10,10,10
08/05/2020 00:00,10,10,10,10
08/05/2020 01:00,10,10,10,10
08/05/2020 02:00,10,10,10,10
08/05/2020 03:00,10,10,10,10
08/05/2020 04:00,10,10,10,10
08/05/2020 05:00,10,10,10,10
08/05/2020 06:00,10,10,10,10
08/05/2020 07:00,10,10,10,10
08/05/2020 08:00,10,10,10,10
08/05/2020 09:00,10,10,10,10
08/05/2020 10:00,10,10,10,10
08/05/2020 11:00,10,10,10,10
08/05/2020 12:00,10,10,10,10
08/05/2020 13:00,10,10,10,10
08/05/2020 14:00,10,10,10,10
08/05/2020 15:00,10,10,10,10
08/05/2020 16:00,10,10,10,10
08/05/2020 17:00,10,10,10,10
08/05/2020 18:00,10,10,10,10
08/05/2020 19:00,10,10,10.03,10
08/05/2020 20:00,10,10,10.19,10
08/05/2020 21:00,10,10,10.71,10
08/05/2020 22:00,10.06,10,11.95,10
08/05/2020 23:00,10.36,10,14.37,10
09/05/2020 00:00,11.23,10,18.58,10
09/05/2020 01:00,13.13,10,25.34,10.01
09/05/2020 02:00,16.6,10.01,35.59,10.16
09/05/2020 03:00,22.27,10.11,50.44,10.71
09/05/2020 04:00,30.81,10.5,71.07,12.04
09/05/2020 05:00,42.98,11.51,98.58,14.58
09/05/2020 06:00,59.64,13.45,133.92,18.75
09/05/2020 07:00,81.59,16.7,177.7,25.07
09/05/2020 08:00,109.44,21.63,230.01,34.1
09/05/2020 09:00,143.51,28.62,290.25,46.39
09/05/2020 10:00,183.77,38.08,357.3,62.46
09/05/2020 11:00,229.87,50.4,429.63,82.61
09/05/2020 12:00,281.16,65.91,505.63,107
09/05/2020 13:00,336.72,84.75,583.75,135.62
09/05/2020 14:00,395.3,106.91,662.72,168.21
09/05/2020 15:00,455.33,132.23,741.7,204.19
09/05/2020 16:00,515.16,160.39,820.43,242.78
09/05/2020 17:00,573.34,190.96,899.31,283.16
09/05/2020 18:00,628.72,223.58,979.43,324.46
09/05/2020 19:00,680.6,257.88,1062.58,366.03
09/05/2020 20:00,728.64,293.46,1151.03,407.47
09/05/2020 21:00,772.87,330.02,1247.21,448.6
09/05/2020 22:00,813.7,367.37,1353.42,489.37
09/05/2020 23:00,851.98,405.4,1471.76,529.87
