Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. AMINILLA - R. YANUBÍN,R. AMINILLA - R. YANUBÍN,R. AMINILLA - R. YANUBÍN,R. AMINILLA - R. YANUBÍN,R. AMINILLA - R. YANUBÍN
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0.04,0.04,0.04,-1,-1
09/05/2020 04:00,0.28,0.28,0.28,-1,-1
09/05/2020 05:00,1,1,1,-1,-1
09/05/2020 06:00,2.57,2.57,2.57,-1,-1
09/05/2020 07:00,5.42,5.42,5.42,-1,-1
09/05/2020 08:00,10.03,10.03,10.03,-1,-1
09/05/2020 09:00,16.55,16.55,16.55,-1,-1
09/05/2020 10:00,24.88,24.88,24.88,-1,-1
09/05/2020 11:00,34.62,34.62,34.62,-1,-1
09/05/2020 12:00,45.22,45.22,45.22,-1,-1
09/05/2020 13:00,56.02,56.02,56.02,-1,-1
09/05/2020 14:00,66.42,66.42,66.42,-1,-1
09/05/2020 15:00,75.93,75.93,75.93,-1,-1
09/05/2020 16:00,84.25,84.25,84.25,-1,-1
09/05/2020 17:00,91.35,91.35,91.35,-1,-1
09/05/2020 18:00,97.41,97.41,97.41,-1,-1
09/05/2020 19:00,102.65,102.65,102.65,-1,-1
09/05/2020 20:00,107.38,107.38,107.38,-1,-1
09/05/2020 21:00,112,112,112,-1,-1
09/05/2020 22:00,116.92,116.92,116.92,-1,-1
09/05/2020 23:00,122.51,122.51,122.51,122.51,122.51
10/05/2020 00:00,128.83,129.05,129.27,128.83,129.27
10/05/2020 01:00,135.36,136.56,137.78,135.36,137.78
10/05/2020 02:00,141.52,144.85,148.21,141.52,148.21
10/05/2020 03:00,146.48,153.54,160.69,146.48,160.69
10/05/2020 04:00,149.24,162.16,175.26,149.24,175.26
10/05/2020 05:00,149.46,170.2,191.28,149.46,191.28
10/05/2020 06:00,147.41,177.12,207.38,147.41,207.38
10/05/2020 07:00,143.45,182.33,222.01,143.45,222.01
10/05/2020 08:00,137.8,185.25,233.76,137.8,233.76
10/05/2020 09:00,130.79,185.47,241.49,130.79,241.49
10/05/2020 10:00,122.75,182.85,244.53,122.75,244.53
10/05/2020 11:00,113.94,177.42,242.68,113.94,242.68
