Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. GUANAJUMA - E. BAO,R. GUANAJUMA - E. BAO,R. GUANAJUMA - E. BAO,R. GUANAJUMA - E. BAO,R. GUANAJUMA - E. BAO
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0.06,0.06,0.06,-1,-1
09/05/2020 08:00,0.59,0.59,0.59,-1,-1
09/05/2020 09:00,2.42,2.42,2.42,-1,-1
09/05/2020 10:00,6.72,6.72,6.72,-1,-1
09/05/2020 11:00,14.4,14.4,14.4,-1,-1
09/05/2020 12:00,25.52,25.52,25.52,-1,-1
09/05/2020 13:00,39.4,39.4,39.4,-1,-1
09/05/2020 14:00,54.78,54.78,54.78,-1,-1
09/05/2020 15:00,70.04,70.04,70.04,-1,-1
09/05/2020 16:00,83.56,83.56,83.56,-1,-1
09/05/2020 17:00,94.48,94.48,94.48,-1,-1
09/05/2020 18:00,102.8,102.8,102.8,-1,-1
09/05/2020 19:00,109.11,109.11,109.11,-1,-1
09/05/2020 20:00,114.16,114.16,114.16,-1,-1
09/05/2020 21:00,118.57,118.57,118.57,-1,-1
09/05/2020 22:00,122.81,122.81,122.81,-1,-1
09/05/2020 23:00,127.24,127.24,127.24,127.24,127.24
10/05/2020 00:00,131.7,132.3,132.9,131.7,132.9
10/05/2020 01:00,135.35,138.65,141.98,135.35,141.98
10/05/2020 02:00,137.29,146.97,156.83,137.29,156.83
10/05/2020 03:00,136.4,157.44,178.94,136.4,178.94
10/05/2020 04:00,133.54,169.5,206.43,133.54,206.43
10/05/2020 05:00,129.91,182.12,236.02,129.91,236.02
10/05/2020 06:00,126.31,194.27,264.78,126.31,264.78
10/05/2020 07:00,123.08,205.02,290.42,123.08,290.42
10/05/2020 08:00,120.58,213.48,310.71,120.58,310.71
10/05/2020 09:00,118.34,218.79,324.29,118.34,324.29
10/05/2020 10:00,115.38,220.2,330.6,115.38,330.6
10/05/2020 11:00,111.18,217.31,329.31,111.18,329.31
