Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. MAO - CENOVI,R. MAO - CENOVI,R. MAO - CENOVI,R. MAO - CENOVI,R. MAO - CENOVI
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0.02,0.02,0.02,-1,-1
09/05/2020 07:00,0.54,0.54,0.54,-1,-1
09/05/2020 08:00,2.8,2.8,2.8,-1,-1
09/05/2020 09:00,8.79,8.79,8.79,-1,-1
09/05/2020 10:00,20.46,20.46,20.46,-1,-1
09/05/2020 11:00,38.31,38.31,38.31,-1,-1
09/05/2020 12:00,61.36,61.36,61.36,-1,-1
09/05/2020 13:00,87.44,87.44,87.44,-1,-1
09/05/2020 14:00,113.7,113.7,113.7,-1,-1
09/05/2020 15:00,137.12,137.12,137.12,-1,-1
09/05/2020 16:00,156.07,156.07,156.07,-1,-1
09/05/2020 17:00,170.57,170.57,170.57,-1,-1
09/05/2020 18:00,181.69,181.69,181.69,-1,-1
09/05/2020 19:00,190.75,190.75,190.75,-1,-1
09/05/2020 20:00,198.85,198.85,198.85,-1,-1
09/05/2020 21:00,206.71,206.71,206.71,-1,-1
09/05/2020 22:00,214.87,214.87,214.87,-1,-1
09/05/2020 23:00,224.06,224.06,224.06,224.06,224.06
10/05/2020 00:00,234.32,235.56,236.81,234.32,236.81
10/05/2020 01:00,243.91,250.67,257.54,243.91,257.54
10/05/2020 02:00,249.92,269.69,289.83,249.92,289.83
10/05/2020 03:00,249.38,291.52,334.65,249.38,334.65
10/05/2020 04:00,243.93,314.21,386.5,243.93,386.5
10/05/2020 05:00,236,335.87,439.11,236,439.11
10/05/2020 06:00,227.52,354.87,487.17,227.52,487.17
10/05/2020 07:00,219.28,369.73,526.73,219.28,526.73
10/05/2020 08:00,212.33,378.94,553.53,212.33,553.53
10/05/2020 09:00,205.1,381.15,566.3,205.1,566.3
10/05/2020 10:00,196.22,375.63,564.83,196.22,564.83
10/05/2020 11:00,185.12,362.41,549.75,185.12,549.75
