Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. YAGUAJAL - R. GUAYUBÍN,R. YAGUAJAL - R. GUAYUBÍN,R. YAGUAJAL - R. GUAYUBÍN,R. YAGUAJAL - R. GUAYUBÍN,R. YAGUAJAL - R. GUAYUBÍN
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0.1,0.1,0.1,-1,-1
09/05/2020 05:00,1.05,1.05,1.05,-1,-1
09/05/2020 06:00,4.22,4.22,4.22,-1,-1
09/05/2020 07:00,11.56,11.56,11.56,-1,-1
09/05/2020 08:00,25.48,25.48,25.48,-1,-1
09/05/2020 09:00,47.63,47.63,47.63,-1,-1
09/05/2020 10:00,78.12,78.12,78.12,-1,-1
09/05/2020 11:00,115.6,115.6,115.6,-1,-1
09/05/2020 12:00,157.63,157.63,157.63,-1,-1
09/05/2020 13:00,201.08,201.08,201.08,-1,-1
09/05/2020 14:00,242.69,242.69,242.69,-1,-1
09/05/2020 15:00,279.53,279.53,279.53,-1,-1
09/05/2020 16:00,310.13,310.13,310.13,-1,-1
09/05/2020 17:00,334.67,334.67,334.67,-1,-1
09/05/2020 18:00,354.28,354.28,354.28,-1,-1
09/05/2020 19:00,370.31,370.31,370.31,-1,-1
09/05/2020 20:00,384.06,384.06,384.06,-1,-1
09/05/2020 21:00,397,397,397,-1,-1
09/05/2020 22:00,410.77,410.77,410.77,-1,-1
09/05/2020 23:00,427.01,427.01,427.01,427.01,427.01
10/05/2020 00:00,445.91,447.06,448.21,445.91,448.21
10/05/2020 01:00,465.3,471.6,477.95,465.3,477.95
10/05/2020 02:00,482.69,500.31,518.14,482.69,518.14
10/05/2020 03:00,493.63,531.86,570.63,493.63,570.63
10/05/2020 04:00,495.04,564.29,634.68,495.04,634.68
10/05/2020 05:00,488.21,595.41,704.65,488.21,704.65
10/05/2020 06:00,475.41,622.9,773.6,475.41,773.6
10/05/2020 07:00,457.9,644.28,835.17,457.9,835.17
10/05/2020 08:00,437.27,657.11,882.8,437.27,882.8
10/05/2020 09:00,413.87,659.62,912.43,413.87,912.43
10/05/2020 10:00,389.19,651.06,920.99,389.19,920.99
10/05/2020 11:00,364.22,631.56,907.62,364.22,907.62
